Table 1
Category,OED Code,AIR code,Name,Description,Code Range,Broad Category,,,,
Construction,5257,171,"Composite, A: Fire-resistive dwellings","Main structure (column, beam, and floor) is constructed of concrete or steel covered with noncombustible material. Roof and external walls are built using nonflammable material.",5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5257, 'Composite, A: Fire-resistive dwellings', 'Main structure (column, beam, and floor) is constructed of concrete or steel covered with noncombustible material. Roof and external walls are built using nonflammable material.', '5250 - 5299', 'Composite - Japan', '171')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5257, 'Composite, A: Fire-resistive dwellings', 'Main structure (column, beam, and floor) is constructed of concrete or steel covered with noncombustible material. Roof and external walls are built using nonflammable material.', '5250 - 5299', 'Composite - Japan')",,
Construction,5258,172,"Composite, B: Semi-fire-resistive dwellings","(1) External walls consist of any one of the following: concrete, concrete material, brick or stone masonry. (2) Steel structure with external walls of nonflammable material or covered with noncombustible material.",5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5258, 'Composite, B: Semi-fire-resistive dwellings', '(1) External walls consist of any one of the following: concrete, concrete material, brick or stone masonry. (2) Steel structure with external walls of nonflammable material or covered with noncombustible material.', '5250 - 5299', 'Composite - Japan', '172')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5258, 'Composite, B: Semi-fire-resistive dwellings', '(1) External walls consist of any one of the following: concrete, concrete material, brick or stone masonry. (2) Steel structure with external walls of nonflammable material or covered with noncombustible material.', '5250 - 5299', 'Composite - Japan')",,
Construction,5259,173,"Composite, C: Slow-burning dwellings","(1) Wood frame with external walls of any of the following: cement or mortar plating, stone pitching or tile hinging. (2) Steel structure that does not come under Class B. Excluding building with external walls of boarding and/or synthetic resin hanging and/or cloth hanging.",5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5259, 'Composite, C: Slow-burning dwellings', '(1) Wood frame with external walls of any of the following: cement or mortar plating, stone pitching or tile hinging. (2) Steel structure that does not come under Class B. Excluding building with external walls of boarding and/or synthetic resin hanging and/or cloth hanging.', '5250 - 5299', 'Composite - Japan', '173')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5259, 'Composite, C: Slow-burning dwellings', '(1) Wood frame with external walls of any of the following: cement or mortar plating, stone pitching or tile hinging. (2) Steel structure that does not come under Class B. Excluding building with external walls of boarding and/or synthetic resin hanging and/or cloth hanging.', '5250 - 5299', 'Composite - Japan')",,
Construction,5260,174,"Composite, D: Dwelling other than A, B or C","Building other than Class A, B, and C.",5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5260, 'Composite, D: Dwelling other than A, B or C', 'Building other than Class A, B, and C.', '5250 - 5299', 'Composite - Japan', '174')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5260, 'Composite, D: Dwelling other than A, B or C', 'Building other than Class A, B, and C.', '5250 - 5299', 'Composite - Japan')",,
Construction,5261,175,"Composite, Sp: Fire-resistive concrete buildings","Main structure (column, beam, and floor) is constructed of concrete and all external walls are of any one of the following: concrete, concrete material, brick, or stone masonry.",5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5261, 'Composite, Sp: Fire-resistive concrete buildings', 'Main structure (column, beam, and floor) is constructed of concrete and all external walls are of any one of the following: concrete, concrete material, brick, or stone masonry.', '5250 - 5299', 'Composite - Japan', '175')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5261, 'Composite, Sp: Fire-resistive concrete buildings', 'Main structure (column, beam, and floor) is constructed of concrete and all external walls are of any one of the following: concrete, concrete material, brick, or stone masonry.', '5250 - 5299', 'Composite - Japan')",,
Construction,5262,176,"Composite, 1: Fire-resistive buildings other","(1) Main structure (column, beam, and floor) is constructed of concrete or steel covered with noncombustible material. Roof and external walls are built using nonflammable material. (2) Main structure (column, beam, and floor) is constructed of wood and/or steel covered with noncombustible material. Roof and external walls are built of or covered by nonflammable and/or semi-nonflammable material. Column, beam, floor, and external walls are to be resistant against the heat under normal fire conditions for at least 1 hour.",5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5262, 'Composite, 1: Fire-resistive buildings other', '(1) Main structure (column, beam, and floor) is constructed of concrete or steel covered with noncombustible material. Roof and external walls are built using nonflammable material. (2) Main structure (column, beam, and floor) is constructed of wood and/or steel covered with noncombustible material. Roof and external walls are built of or covered by nonflammable and/or semi-nonflammable material. Column, beam, floor, and external walls are to be resistant against the heat under normal fire conditions for at least 1 hour.', '5250 - 5299', 'Composite - Japan', '176')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5262, 'Composite, 1: Fire-resistive buildings other', '(1) Main structure (column, beam, and floor) is constructed of concrete or steel covered with noncombustible material. Roof and external walls are built using nonflammable material. (2) Main structure (column, beam, and floor) is constructed of wood and/or steel covered with noncombustible material. Roof and external walls are built of or covered by nonflammable and/or semi-nonflammable material. Column, beam, floor, and external walls are to be resistant against the heat under normal fire conditions for at least 1 hour.', '5250 - 5299', 'Composite - Japan')",,
Construction,5263,177,"Composite, 2: Semi-fire-resistive buildings","(1) External walls consist of any one of the following: concrete / concrete block / brick / stone masonry. (2) Steel structure with external walls of nonflammable and/or semi-nonflammable material or covered with noncombustible material. (3) Main structure (column, beam, and floor) is constructed of wood and/or steel covered with noncombustible material. Roof and external walls consist of or are covered by nonflammable and/or semi-nonflammable materials. Column, beam, floor, and external walls to be resistant against the heat under normal fire conditions for at least 45 minutes.",5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5263, 'Composite, 2: Semi-fire-resistive buildings', '(1) External walls consist of any one of the following: concrete / concrete block / brick / stone masonry. (2) Steel structure with external walls of nonflammable and/or semi-nonflammable material or covered with noncombustible material. (3) Main structure (column, beam, and floor) is constructed of wood and/or steel covered with noncombustible material. Roof and external walls consist of or are covered by nonflammable and/or semi-nonflammable materials. Column, beam, floor, and external walls to be resistant against the heat under normal fire conditions for at least 45 minutes.', '5250 - 5299', 'Composite - Japan', '177')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5263, 'Composite, 2: Semi-fire-resistive buildings', '(1) External walls consist of any one of the following: concrete / concrete block / brick / stone masonry. (2) Steel structure with external walls of nonflammable and/or semi-nonflammable material or covered with noncombustible material. (3) Main structure (column, beam, and floor) is constructed of wood and/or steel covered with noncombustible material. Roof and external walls consist of or are covered by nonflammable and/or semi-nonflammable materials. Column, beam, floor, and external walls to be resistant against the heat under normal fire conditions for at least 45 minutes.', '5250 - 5299', 'Composite - Japan')",,
Construction,5264,178,"Composite, 3: Slow-burning buildings",(1) Wood frame (and not applicable to Class 1 or 2) with external walls of nonflammable and/or semi-nonflammable material or covered with noncombustible material. (2) Steel structure that does not come under Class 1 or 2. Excluding building with external walls of boarding and/or synthetic resin hanging and/or cloth hanging.,5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5264, 'Composite, 3: Slow-burning buildings', '(1) Wood frame (and not applicable to Class 1 or 2) with external walls of nonflammable and/or semi-nonflammable material or covered with noncombustible material. (2) Steel structure that does not come under Class 1 or 2. Excluding building with external walls of boarding and/or synthetic resin hanging and/or cloth hanging.', '5250 - 5299', 'Composite - Japan', '178')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5264, 'Composite, 3: Slow-burning buildings', '(1) Wood frame (and not applicable to Class 1 or 2) with external walls of nonflammable and/or semi-nonflammable material or covered with noncombustible material. (2) Steel structure that does not come under Class 1 or 2. Excluding building with external walls of boarding and/or synthetic resin hanging and/or cloth hanging.', '5250 - 5299', 'Composite - Japan')",,
Construction,5265,179,"Composite, 4: Other than Sp, 1, 2, or 3","Buildings other than Class SP, 1, 2, and 3.",5250 - 5299,Composite - Japan,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5265, 'Composite, 4: Other than Sp, 1, 2, or 3', 'Buildings other than Class SP, 1, 2, and 3.', '5250 - 5299', 'Composite - Japan', '179')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5265, 'Composite, 4: Other than Sp, 1, 2, or 3', 'Buildings other than Class SP, 1, 2, and 3.', '5250 - 5299', 'Composite - Japan')",,
Construction,5301,181,"Special, Long-span",Building constructed with steel frame and metal siding and roof of wood or other combustible material. Typically gymnasiums or auditoriums.,5300 - 5349,Special,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5301, 'Special, Long-span', 'Building constructed with steel frame and metal siding and roof of wood or other combustible material. Typically gymnasiums or auditoriums.', '5300 - 5349', 'Special', '181')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5301, 'Special, Long-span', 'Building constructed with steel frame and metal siding and roof of wood or other combustible material. Typically gymnasiums or auditoriums.', '5300 - 5349', 'Special')",,
Construction,5302,182,"Special, Semi-wind resistive","A building for which a licensed engineer does not design the structure, but an attempt is made to build in accordance with an accepted wind building code; code compliance is not assured. Some engineering input may have occurred. Most of the details in a wind resistive structure are found in a semi-wind resistive structure, but not all components are wind resistive.",5300 - 5349,Special,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5302, 'Special, Semi-wind resistive', 'A building for which a licensed engineer does not design the structure, but an attempt is made to build in accordance with an accepted wind building code; code compliance is not assured. Some engineering input may have occurred. Most of the details in a wind resistive structure are found in a semi-wind resistive structure, but not all components are wind resistive.', '5300 - 5349', 'Special', '182')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5302, 'Special, Semi-wind resistive', 'A building for which a licensed engineer does not design the structure, but an attempt is made to build in accordance with an accepted wind building code; code compliance is not assured. Some engineering input may have occurred. Most of the details in a wind resistive structure are found in a semi-wind resistive structure, but not all components are wind resistive.', '5300 - 5349', 'Special')",,
Construction,5303,183,"Special, Wind resistive","A structure that was designed by a licensed engineer to comply with the wind code. Characterized by the presence of properly sized wind-resistant connectors, adequate bracing, and a continuous load path from the roof to the foundation (i.e., the roof is tied to the walls, the floors are attached to each other, and the walls are tied to the foundation).",5300 - 5349,Special,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5303, 'Special, Wind resistive', 'A structure that was designed by a licensed engineer to comply with the wind code. Characterized by the presence of properly sized wind-resistant connectors, adequate bracing, and a continuous load path from the roof to the foundation (i.e., the roof is tied to the walls, the floors are attached to each other, and the walls are tied to the foundation).', '5300 - 5349', 'Special', '183')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5303, 'Special, Wind resistive', 'A structure that was designed by a licensed engineer to comply with the wind code. Characterized by the presence of properly sized wind-resistant connectors, adequate bracing, and a continuous load path from the roof to the foundation (i.e., the roof is tied to the walls, the floors are attached to each other, and the walls are tied to the foundation).', '5300 - 5349', 'Special')",,
Construction,5304,185,"Special, Unknown glass",Code for the U.S. Hurricane Plate Glass Module when the type of glass is unknown,5300 - 5349,Special,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5304, 'Special, Unknown glass', 'Code for the U.S. Hurricane Plate Glass Module when the type of glass is unknown', '5300 - 5349', 'Special', '185')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5304, 'Special, Unknown glass', 'Code for the U.S. Hurricane Plate Glass Module when the type of glass is unknown', '5300 - 5349', 'Special')",,
Construction,5305,186,"Special, Safety glass","Safety glass includes fully tempered and laminated glass. Fully tempered glass is created by heating common annealed glass uniformly to make a high-strengthened glass. Laminated glass is made by sandwiching a plastic sheet between two glass panels, which prevents shattering and helps maintains the integrity of the building envelop even after its breakage.",5300 - 5349,Special,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5305, 'Special, Safety glass', 'Safety glass includes fully tempered and laminated glass. Fully tempered glass is created by heating common annealed glass uniformly to make a high-strengthened glass. Laminated glass is made by sandwiching a plastic sheet between two glass panels, which prevents shattering and helps maintains the integrity of the building envelop even after its breakage.', '5300 - 5349', 'Special', '186')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5305, 'Special, Safety glass', 'Safety glass includes fully tempered and laminated glass. Fully tempered glass is created by heating common annealed glass uniformly to make a high-strengthened glass. Laminated glass is made by sandwiching a plastic sheet between two glass panels, which prevents shattering and helps maintains the integrity of the building envelop even after its breakage.', '5300 - 5349', 'Special')",,
Construction,5306,187,"Special, Impact resistance glass","Impact-resistant glass similar to laminated glass (as described above), which has been tested to resist breakage from flying debris during hurricanes. Impact-resistant glass is typically thicker than safety glass and is packaged as a unit that includes a special frame.",5300 - 5349,Special,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5306, 'Special, Impact resistance glass', 'Impact-resistant glass similar to laminated glass (as described above), which has been tested to resist breakage from flying debris during hurricanes. Impact-resistant glass is typically thicker than safety glass and is packaged as a unit that includes a special frame.', '5300 - 5349', 'Special', '187')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5306, 'Special, Impact resistance glass', 'Impact-resistant glass similar to laminated glass (as described above), which has been tested to resist breakage from flying debris during hurricanes. Impact-resistant glass is typically thicker than safety glass and is packaged as a unit that includes a special frame.', '5300 - 5349', 'Special')",,
Construction,5350,191,"Mobile Homes, Mobile Homes","Represents a weighted average of tie-down types, including no tie-downs. Use this code for a mobile home (manufactured home) when the tie-down information is unknown.",5350 - 5399,Mobile Homes,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5350, 'Mobile Homes, Mobile Homes', 'Represents a weighted average of tie-down types, including no tie-downs. Use this code for a mobile home (manufactured home) when the tie-down information is unknown.', '5350 - 5399', 'Mobile Homes', '191')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5350, 'Mobile Homes, Mobile Homes', 'Represents a weighted average of tie-down types, including no tie-downs. Use this code for a mobile home (manufactured home) when the tie-down information is unknown.', '5350 - 5399', 'Mobile Homes')",,
Construction,5351,192,"Mobile Homes, Mobile homes no tie down",Use this code for a mobile home (manufactured home) with no anchoring systems present.,5350 - 5399,Mobile Homes,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5351, 'Mobile Homes, Mobile homes no tie down', 'Use this code for a mobile home (manufactured home) with no anchoring systems present.', '5350 - 5399', 'Mobile Homes', '192')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5351, 'Mobile Homes, Mobile homes no tie down', 'Use this code for a mobile home (manufactured home) with no anchoring systems present.', '5350 - 5399', 'Mobile Homes')",,
Construction,5352,193,"Mobile Homes, Mobile homes part tie down","Use this code for a mobile home (manufactured home) when the tie-downs are either over-the-top ties or frame ties, but not both, or with fewer ties than recommended by the manufacturer.",5350 - 5399,Mobile Homes,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5352, 'Mobile Homes, Mobile homes part tie down', 'Use this code for a mobile home (manufactured home) when the tie-downs are either over-the-top ties or frame ties, but not both, or with fewer ties than recommended by the manufacturer.', '5350 - 5399', 'Mobile Homes', '193')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5352, 'Mobile Homes, Mobile homes part tie down', 'Use this code for a mobile home (manufactured home) when the tie-downs are either over-the-top ties or frame ties, but not both, or with fewer ties than recommended by the manufacturer.', '5350 - 5399', 'Mobile Homes')",,
Construction,5353,194,"Mobile Homes, Mobile homes full tie down","Use this code for a mobile home (manufactured home) when the anchoring system uses both over-the-top ties and frame ties. Typically, ten frame ties and seven over-the-top ties are required for full tie-down in single-wide mobile homes.",5350 - 5399,Mobile Homes,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5353, 'Mobile Homes, Mobile homes full tie down', 'Use this code for a mobile home (manufactured home) when the anchoring system uses both over-the-top ties and frame ties. Typically, ten frame ties and seven over-the-top ties are required for full tie-down in single-wide mobile homes.', '5350 - 5399', 'Mobile Homes', '194')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5353, 'Mobile Homes, Mobile homes full tie down', 'Use this code for a mobile home (manufactured home) when the anchoring system uses both over-the-top ties and frame ties. Typically, ten frame ties and seven over-the-top ties are required for full tie-down in single-wide mobile homes.', '5350 - 5399', 'Mobile Homes')",,
Construction,5400,2010,"Bridges, Unknown Bridge","Seismically or non-seismically designed highway bridges with individual span length less than 500 feet with unknown material of construction, unknown number of spans, and unknown support conditions, or other unknown bridges that cannot be mapped to any of the other bridge construction class codes.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5400, 'Bridges, Unknown Bridge', 'Seismically or non-seismically designed highway bridges with individual span length less than 500 feet with unknown material of construction, unknown number of spans, and unknown support conditions, or other unknown bridges that cannot be mapped to any of the other bridge construction class codes.', '5400 - 5449', 'Bridges', '2010')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5400, 'Bridges, Unknown Bridge', 'Seismically or non-seismically designed highway bridges with individual span length less than 500 feet with unknown material of construction, unknown number of spans, and unknown support conditions, or other unknown bridges that cannot be mapped to any of the other bridge construction class codes.', '5400 - 5449', 'Bridges')",,
Construction,5401,201,"Bridges, Conventional multiple span bridges","Bridges having multiple simple spans with each span being less than 500 feet. These bridges may be constructed of concrete, steel, or timber.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5401, 'Bridges, Conventional multiple span bridges', 'Bridges having multiple simple spans with each span being less than 500 feet. These bridges may be constructed of concrete, steel, or timber.', '5400 - 5449', 'Bridges', '201')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5401, 'Bridges, Conventional multiple span bridges', 'Bridges having multiple simple spans with each span being less than 500 feet. These bridges may be constructed of concrete, steel, or timber.', '5400 - 5449', 'Bridges')",,
Construction,5402,202,"Bridges, Conventional continuous bridges","Bridges having continuous spans of less than 500 feet. These bridges may be constructed of concrete, steel, or timber.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5402, 'Bridges, Conventional continuous bridges', 'Bridges having continuous spans of less than 500 feet. These bridges may be constructed of concrete, steel, or timber.', '5400 - 5449', 'Bridges', '202')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5402, 'Bridges, Conventional continuous bridges', 'Bridges having continuous spans of less than 500 feet. These bridges may be constructed of concrete, steel, or timber.', '5400 - 5449', 'Bridges')",,
Construction,5403,203; 2031,"Bridges, Major bridges",Bridges having individual spans of 500 feet or more. These bridges may be constructed of concrete or steel.,5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5403, 'Bridges, Major bridges', 'Bridges having individual spans of 500 feet or more. These bridges may be constructed of concrete or steel.', '5400 - 5449', 'Bridges', '203; 2031')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5403, 'Bridges, Major bridges', 'Bridges having individual spans of 500 feet or more. These bridges may be constructed of concrete or steel.', '5400 - 5449', 'Bridges')",,
Construction,5404,2011,"Bridges, Multispan simply supported CONCRETE","Seismically or non-seismically designed highway bridges constructed of concrete and consisting of multiple simply supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5404, 'Bridges, Multispan simply supported CONCRETE', 'Seismically or non-seismically designed highway bridges constructed of concrete and consisting of multiple simply supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.', '5400 - 5449', 'Bridges', '2011')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5404, 'Bridges, Multispan simply supported CONCRETE', 'Seismically or non-seismically designed highway bridges constructed of concrete and consisting of multiple simply supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.', '5400 - 5449', 'Bridges')",,
Construction,5405,2012,"Bridges, Multispan simply supported STEEL","Seismically or non-seismically designed highway bridges constructed of steel and consisting of multiple simply supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5405, 'Bridges, Multispan simply supported STEEL', 'Seismically or non-seismically designed highway bridges constructed of steel and consisting of multiple simply supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.', '5400 - 5449', 'Bridges', '2012')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5405, 'Bridges, Multispan simply supported STEEL', 'Seismically or non-seismically designed highway bridges constructed of steel and consisting of multiple simply supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.', '5400 - 5449', 'Bridges')",,
Construction,5406,2013,"Bridges, Single Span Bridge","Seismically or non-seismically designed highway bridges constructed of steel or concrete and with a single span less than 500 feet spanning between abutments without intermediate piers. For single span bridges, the construction material does not matter.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5406, 'Bridges, Single Span Bridge', 'Seismically or non-seismically designed highway bridges constructed of steel or concrete and with a single span less than 500 feet spanning between abutments without intermediate piers. For single span bridges, the construction material does not matter.', '5400 - 5449', 'Bridges', '2013')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5406, 'Bridges, Single Span Bridge', 'Seismically or non-seismically designed highway bridges constructed of steel or concrete and with a single span less than 500 feet spanning between abutments without intermediate piers. For single span bridges, the construction material does not matter.', '5400 - 5449', 'Bridges')",,
Construction,5407,2015,"Bridges, General Concrete","Seismically or non-seismically designed highway bridges constructed of concrete with individual span length less than 500 feet, unknown number of spans, and unknown support conditions.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5407, 'Bridges, General Concrete', 'Seismically or non-seismically designed highway bridges constructed of concrete with individual span length less than 500 feet, unknown number of spans, and unknown support conditions.', '5400 - 5449', 'Bridges', '2015')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5407, 'Bridges, General Concrete', 'Seismically or non-seismically designed highway bridges constructed of concrete with individual span length less than 500 feet, unknown number of spans, and unknown support conditions.', '5400 - 5449', 'Bridges')",,
Construction,5408,2016,"Bridges, General Steel","Seismically or non-seismically designed highway bridges constructed of steel with individual span length less than 500 feet, unknown number of spans, and unknown support conditions.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5408, 'Bridges, General Steel', 'Seismically or non-seismically designed highway bridges constructed of steel with individual span length less than 500 feet, unknown number of spans, and unknown support conditions.', '5400 - 5449', 'Bridges', '2016')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5408, 'Bridges, General Steel', 'Seismically or non-seismically designed highway bridges constructed of steel with individual span length less than 500 feet, unknown number of spans, and unknown support conditions.', '5400 - 5449', 'Bridges')",,
Construction,5409,2021,"Bridges, Multispan continuous CONCRETE","Seismically or non-seismically designed highway bridges constructed of concrete and consisting of multiple continuously supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5409, 'Bridges, Multispan continuous CONCRETE', 'Seismically or non-seismically designed highway bridges constructed of concrete and consisting of multiple continuously supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.', '5400 - 5449', 'Bridges', '2021')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5409, 'Bridges, Multispan continuous CONCRETE', 'Seismically or non-seismically designed highway bridges constructed of concrete and consisting of multiple continuously supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.', '5400 - 5449', 'Bridges')",,
Construction,5410,2022,"Bridges, Multispan continuous STEEL","Seismically or non-seismically designed highway bridges constructed of steel and consisting of multiple continuously supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.",5400 - 5449,Bridges,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5410, 'Bridges, Multispan continuous STEEL', 'Seismically or non-seismically designed highway bridges constructed of steel and consisting of multiple continuously supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.', '5400 - 5449', 'Bridges', '2022')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5410, 'Bridges, Multispan continuous STEEL', 'Seismically or non-seismically designed highway bridges constructed of steel and consisting of multiple continuously supported spans, with individual span length less than 500 feet, spanning between consecutive piers and between abutments and piers.', '5400 - 5449', 'Bridges')",,
Construction,5451,204,"Pavements, Railroads",Railroads of any kind used to carry trains.,5450 - 5499,Pavements,"INSERT INTO xConstruction_upd (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName, AIRcode) VALUES (5451, 'Pavements, Railroads', 'Railroads of any kind used to carry trains.', '5450 - 5499', 'Pavements', '204')","INSERT INTO xConstruction (Code, ConstructionName, ConstructionDescription, CodeRange, CategoryName) VALUES (5451, 'Pavements, Railroads', 'Railroads of any kind used to carry trains.', '5450 - 5499', 'Pavements')",,
